Fecha,FEMENINO,MASCULINO
2020-03-25,3,10
2020-03-26,3,10
2020-03-27,6,13
2020-03-28,9,15
2020-03-29,11,19
2020-03-30,12,20
2020-03-31,12,20
2020-04-01,15,26
2020-04-02,19,27
2020-04-03,20,36
2020-04-04,22,40
2020-04-05,28,41
2020-04-06,33,45
2020-04-07,38,55
2020-04-08,42,61
2020-04-09,51,66
2020-04-10,51,67
2020-04-11,53,71
2020-04-12,58,79
2020-04-13,65,84
2020-04-14,70,89
2020-04-15,70,89
2020-04-16,79,98
2020-04-17,84,106
2020-04-18,92,109
2020-04-19,97,121
2020-04-20,97,121
2020-04-21,100,125
2020-04-22,105,132
2020-04-23,110,140
2020-04-24,112,149
2020-04-25,133,165
2020-04-26,145,178
2020-04-27,153,192
2020-04-28,158,219
2020-04-29,197,228
2020-04-30,178,246
2020-05-01,185,261
2020-05-02,201,289
2020-05-03,236,319
2020-05-04,252,335
2020-05-05,271,362
2020-05-06,293,402
2020-05-07,313,429
2020-05-08,324,460
2020-05-09,358,531
2020-05-10,372,586
2020-05-11,376,622
2020-05-12,381,656
2020-05-13,410,702
2020-05-14,441,769
2020-05-11,376,622
2020-05-12,381,656
2020-05-13,410,702
2020-05-14,441,769
2020-05-15,460,805
2020-05-16,493,845
2020-05-17,521,892
2020-05-18,533,965
2020-05-19,556,1015
2020-05-20,578,1062
2020-05-21,610,1115
2020-05-22,638,1181
2020-05-23,657,1258
2020-05-24,676,1307
2020-05-25,687,1355
2020-05-26,715,1394
2020-05-27,740,1454
2020-05-28,754,1524
2020-05-29,779,1616
2020-05-30,832,1685
2020-05-31,851,1731
2020-06-01,862,1791
2020-06-02,877,1828
2020-06-03,903,1878
2020-06-04,922,1927
2020-06-05,956,1978
2020-06-06,976,2039
2020-06-07,1014,2090
2020-06-08,1036,2155
2020-06-09,1054,2220
2020-06-10,1094,2279
2020-06-11,1144,2337
2020-06-12,1182,2421
2020-06-13,1224,2496
2020-06-14,1270,2556
2020-06-15,1319,2622
2020-06-16,1384,2682
2020-06-17,1446,2754
2020-06-18,1515,2814
2020-06-19,1569,2906
2020-06-20,1643,2983
2020-06-21,1728,3080
2020-06-22,1792,3181
2020-06-23,1866,3284
2020-06-24,1939,3397
2020-06-25,2013,3504
2020-06-26,2110,3617
2020-06-27,2197,3737
2020-06-28,2298,3875
2020-06-29,2431,4007
